timestamp,city,aqi,wind_speed,humidity
2025-03-26 23:01:52.549981+0700,Hà Nội,162,19.5 km/h,80%
2025-03-27 00:01:44.200366+0700,Hà Nội,160,18.5 km/h,80%
2025-03-27 01:02:07.561856+0700,Hà Nội,156,16.7 km/h,84%
2025-03-27 02:01:44.977572+0700,Hà Nội,158,14.0 km/h,86%
2025-03-27 03:01:42.085636+0700,Hà Nội,161,14.3 km/h,86%
2025-03-27 04:01:34.179983+0700,Hà Nội,158,12.2 km/h,86%
2025-03-27 05:01:27.149696+0700,Hà Nội,154,13.5 km/h,89%
2025-03-27 06:01:46.294845+0700,Hà Nội,153,13.7 km/h,89%
2025-03-27 07:04:26.529158+0700,Hà Nội,157,13.0 km/h,89%
2025-03-27 08:28:49.088828+0700,Hà Nội,151,15.6 km/h,91%
2025-03-27 09:27:44.766435+0700,Hà Nội,133,14.2 km/h,88%
2025-03-27 10:12:52.887814+0700,Hà Nội,139,12.7 km/h,83%
2025-03-27 11:01:39.607662+0700,Hà Nội,138,12.7 km/h,83%
2025-03-27 12:01:44.243849+0700,Hà Nội,139,12.6 km/h,79%
2025-03-27 13:01:53.137451+0700,Hà Nội,151,15.8 km/h,63%
2025-03-27 14:01:47.239569+0700,Hà Nội,145,25.7 km/h,31%
2025-03-27 15:01:40.576767+0700,Hà Nội,152,29.3 km/h,38%
2025-03-27 16:01:48.425466+0700,Hà Nội,157,29.3 km/h,38%
2025-03-27 17:01:47.463269+0700,Hà Nội,158,24.9 km/h,74%
2025-03-27 18:01:40.658380+0700,Hà Nội,159,24.0 km/h,73%
2025-03-27 19:02:00.407068+0700,Hà Nội,167,21.1 km/h,84%
2025-03-27 20:07:44.988289+0700,Hà Nội,166,16.9 km/h,94%
2025-03-27 21:01:36.593963+0700,Hà Nội,172,16.9 km/h,94%
2025-03-27 22:01:58.745370+0700,Hà Nội,167,16.4 km/h,95%
2025-03-27 23:01:58.563576+0700,Hà Nội,163,12.7 km/h,96%
2025-03-28 00:01:33.878974+0700,Hà Nội,160,12.7 km/h,96%
2025-03-28 01:01:53.613822+0700,Hà Nội,156,13.2 km/h,96%
2025-03-28 02:01:53.594161+0700,Hà Nội,154,12.1 km/h,96%
2025-03-28 03:01:36.526570+0700,Hà Nội,151,10.5 km/h,94%
2025-03-28 04:01:43.584662+0700,Hà Nội,153,10.5 km/h,94%
2025-03-28 05:01:26.725123+0700,Hà Nội,159,9.8 km/h,94%
2025-03-28 06:01:37.917277+0700,Hà Nội,163,8.4 km/h,94%
2025-03-28 07:04:30.273877+0700,Hà Nội,160,7.6 km/h,90%
2025-03-28 08:28:45.598068+0700,Hà Nội,166,6.6 km/h,89%
2025-03-28 10:13:53.280394+0700,Hà Nội,164,6.1 km/h,79%
2025-03-28 11:01:36.378605+0700,Hà Nội,163,7.6 km/h,78%
2025-03-28 12:01:43.476559+0700,Hà Nội,162,7.6 km/h,78%
2025-03-28 13:01:56.143738+0700,Hà Nội,162,10.3 km/h,68%
2025-03-28 14:01:40.785634+0700,Hà Nội,159,10.3 km/h,68%
2025-03-28 15:01:54.747927+0700,Hà Nội,155,16.9 km/h,65%
2025-03-28 16:01:39.784139+0700,Hà Nội,144,16.9 km/h,69%
2025-03-28 17:01:34.184400+0700,Hà Nội,141,19.3 km/h,73%
2025-03-28 18:01:35.808939+0700,Hà Nội,127,19.3 km/h,73%
2025-03-28 19:01:54.948481+0700,Hà Nội,142,17.4 km/h,82%
2025-03-28 20:07:17.883207+0700,Hà Nội,123,16.1 km/h,83%
2025-03-28 21:01:41.219392+0700,Hà Nội,155,16.1 km/h,83%
2025-03-28 22:01:42.345679+0700,Hà Nội,157,16.3 km/h,81%
2025-03-28 23:01:43.288741+0700,Hà Nội,163,15.6 km/h,88%
2025-03-29 00:01:46.438729+0700,Hà Nội,165,14.6 km/h,87%
2025-03-29 01:01:51.889002+0700,Hà Nội,167,15.0 km/h,85%
2025-03-29 02:01:29.810068+0700,Hà Nội,162,15.8 km/h,72%
2025-03-29 03:01:43.248343+0700,Hà Nội,161,20.9 km/h,80%
2025-03-29 04:01:38.789550+0700,Hà Nội,164,19.8 km/h,83%
2025-03-29 05:01:39.436802+0700,Hà Nội,162,20.8 km/h,83%
2025-03-29 07:04:25.648205+0700,Hà Nội,124,24.1 km/h,78%
2025-03-29 08:28:49.711468+0700,Hà Nội,151,22.4 km/h,81%
2025-03-29 09:26:34.553564+0700,Hà Nội,143,20.6 km/h,77%
2025-03-29 10:10:59.802565+0700,Hà Nội,127,20.6 km/h,77%
2025-03-29 11:01:43.819461+0700,Hà Nội,127,20.6 km/h,77%
2025-03-29 12:01:32.289427+0700,Hà Nội,117,18.2 km/h,70%
2025-03-29 13:01:43.566352+0700,Hà Nội,99,17.1 km/h,68%
2025-03-29 14:01:27.958398+0700,Hà Nội,94,16.1 km/h,65%
2025-03-29 15:01:39.504719+0700,Hà Nội,90,20.0 km/h,63%
2025-03-29 16:01:33.336270+0700,Hà Nội,88,21.4 km/h,63%
2025-03-29 17:01:33.558589+0700,Hà Nội,84,19.2 km/h,62%
2025-03-29 18:01:28.448555+0700,Hà Nội,76,18.8 km/h,61%
2025-03-29 19:01:46.909239+0700,Hà Nội,70,16.4 km/h,70%
